Entrez	Gene Symbol	P-value	Beta
8882	ZPR1	8.999999999999999e-222	0.182
348	APOE	2e-123	0.1307
2646	GCKR	2.9999999999999998e-114	0.0951
85440	DOCK7	5e-92	0.0855
53345	TM6SF2	5e-67	0.1366
255738	PCSK9	5.000000000000001e-49	0.2148
4023	LPL	2e-41	0.0928
9388	LIPG	6.999999999999999e-30	0.2249
19	ABCA1	3e-29	0.0539
51085	MLXIPL	6e-29	0.0687
64241	ABCG8	6e-19	0.0734
28983	TMPRSS11E	5e-18	0.0434
4018	LPA	2e-17	0.0725
388323	GLTPD2	9e-15	0.1459
8701	DNAH11	4e-13	0.0356
7629	ZNF76	1e-12	0.038
4299	AFF1	8e-12	0.0271
51129	ANGPTL4	2e-11	0.1041
23119	HIC2	3e-11	0.0287
7227	TRPS1	3e-11	0.0295
126695	KDF1	1e-10	0.0828
10019	SH2B3	2e-10	0.027
60468	BACH2	2e-10	0.3199
55219	MACO1	3e-10	0.0258
54922	RASIP1	5e-10	0.0254
9785	DHX38	5e-10	0.031
29881	NPC1L1	7e-10	0.0334
