Entrez	Gene Symbol	P-value	Beta
10767	HBS1L	0.0	0.1443
896	CCND3	2e-249	0.0681
7036	TFR2	9e-231	0.0613
51422	PRKAG2	2e-108	0.0501
10320	IKZF1	7e-100	0.0372
10171	RCL1	5e-95	0.0404
4137	MAPT	1e-93	0.0399
3098	HK1	2e-87	0.0646
7015	TERT	4e-74	0.0334
6911	TBX6	6e-72	0.0316
25893	TRIM58	1e-67	0.033
11322	TMC6	3e-59	0.0352
81846	SBF2	7e-56	0.0333
3117	HLA-DQA1	7e-51	0.0361
9415	FADS2	2.0000000000000003e-49	0.0263
23139	MAST2	4.0000000000000005e-49	0.0256
775	CACNA1C	1e-48	0.0263
9882	TBC1D4	1e-48	0.038
545	ATR	3e-48	0.0253
84747	UNC119B	9e-48	0.0293
23228	PLCL2	2e-46	0.0594
5629	PROX1	4e-43	0.0264
7477	WNT7B	6e-43	0.0254
54878	DPP8	3e-39	0.0254
23039	XPO7	1e-37	0.0281
57619	SHROOM3	3e-34	0.022
114818	KLHL29	5e-34	0.0359
160140	C11orf65	4e-33	0.0208
23205	ACSBG1	9.999999999999999e-33	0.0208
6667	SP1	7e-32	0.0262
6764	DENND2B	4.0000000000000003e-29	0.0211
8031	NCOA4	5e-28	0.041
114926	SMIM19	1e-27	0.0232
2762	GMDS	2e-27	0.0191
596	BCL2	6e-27	0.0647
57479	PRR12	5e-25	0.0219
5890	RAD51B	2.0000000000000002e-23	0.0263
27086	FOXP1	3e-22	0.0234
7227	TRPS1	6e-22	0.0173
132660	LIN54	2e-21	0.0211
3062	HCRTR2	3e-21	0.0624
53349	ZFYVE1	4e-21	0.0179
5468	PPARG	4e-21	0.0226
84517	ACTRT3	1e-20	0.0179
9052	GPRC5A	2e-20	0.0263
7157	TP53	3e-20	0.0862
1188	CLCNKB	3e-20	0.0169
64116	SLC39A8	2e-19	0.0349
388588	SMIM1	3e-19	0.022
23026	MYO16	4e-19	0.0158
55193	PBRM1	5e-19	0.0153
9839	ZEB2	5e-19	0.048
54986	ULK4	8e-19	0.0216
4299	AFF1	1e-18	0.0154
1021	CDK6	1e-18	0.0161
51272	BET1L	1e-18	0.03
140688	NOL4L	1e-18	0.0196
493	ATP2B4	2e-18	0.03
5586	PKN2	2e-18	0.0153
6453	ITSN1	3e-18	0.0153
7704	ZBTB16	3e-18	0.0164
57666	FBRSL1	4e-18	0.0212
26227	PHGDH	6e-18	0.0178
51312	SLC25A37	7e-18	0.0174
84870	RSPO3	3e-17	0.0144
10293	TRAIP	3e-17	0.0185
29842	TFCP2L1	4e-17	0.0248
26234	FBXL5	5e-17	0.018
2766	GMPR	6e-17	0.0162
29125	C11orf21	9e-17	0.0266
440275	EIF2AK4	1e-16	0.0217
2972	BRF1	2e-16	0.0164
3172	HNF4A	1e-15	0.0439
80315	CPEB4	1e-15	0.0143
55212	BBS7	3e-15	0.0138
65003	MRPL11	4e-15	0.0137
10055	SAE1	4e-15	0.0183
145282	MIPOL1	4e-15	0.0143
23232	TBC1D12	5e-15	0.0141
26993	AKAP8L	6e-15	0.0396
84888	SPPL2A	6e-15	0.0183
128368	OR10Z1	9e-15	0.0145
92521	SPECC1	1e-14	0.0142
5207	PFKFB1	1e-14	0.161
