Entrez	Gene Symbol	Ensembl ID	P-value
345	APOC3	ENSG00000110245	2.06e-178
4023	LPL	ENSG00000175445	1.1299999999999999e-168
11183	MAP4K5	ENSG00000012983	2.21e-102
8882	ZPR1	ENSG00000109917	2.88e-100
338	APOB	ENSG00000084674	8.19e-96
84811	BUD13	ENSG00000137656	3.35e-89
4018	LPA	ENSG00000198670	4.8200000000000006e-79
51085	MLXIPL	ENSG00000009950	7.11e-69
1071	CETP	ENSG00000087237	4.02e-55
51129	ANGPTL4	ENSG00000167772	6.19e-51
84226	C2orf16	ENSG00000221843	1.85e-49
11321	GPN1	ENSG00000198522	2.32e-46
5049	PAFAH1B2	ENSG00000168092	4.62e-42
6580	SLC22A1	ENSG00000175003	2.5799999999999998e-39
1463	NCAN	ENSG00000130287	1.71e-38
348	APOE	ENSG00000130203	4.149999999999999e-34
8890	EIF2B4	ENSG00000115211	3.33e-29
26160	IFT172	ENSG00000138002	2.21e-27
27329	ANGPTL3	ENSG00000132855	6.29e-26
22837	COBLL1	ENSG00000082438	1.88e-23
23173	METAP1	ENSG00000164024	4.49e-19
57159	TRIM54	ENSG00000138100	4.99e-19
26762	HAVCR1	ENSG00000113249	1.48e-18
8884	SLC5A6	ENSG00000138074	1.59e-17
5140	PDE3B	ENSG00000152270	5.38e-17
94039	ZNF101	ENSG00000181896	6.26e-17
255738	PCSK9	ENSG00000169174	5.86e-15
116519	APOA5	ENSG00000110243	7.59e-15
84277	DNAJC30	ENSG00000176410	1.61e-13
113201	GOLM2	ENSG00000166734	1.06e-12
221037	JMJD1C	ENSG00000171988	1.61e-12
80212	CCDC92	ENSG00000275035	6.21e-12
94137	RP1L1	ENSG00000183638	1.09e-11
5340	PLG	ENSG00000122194	4.86e-11
256006	ANKRD31	ENSG00000145700	9.22e-11
350	APOH	ENSG00000091583	1.75e-10
3626	INHBC	ENSG00000175189	3.9e-10
84456	L3MBTL3	ENSG00000198945	1.68e-09
196385	DNAH10	ENSG00000281935	2.39e-09
81579	PLA2G12A	ENSG00000123739	5.04e-09
