Entrez	Gene Symbol	P-value	Beta
79068	FTO	8.000000000000001e-49	0.004
25970	SH2B1	1.9999999999999998e-26	0.003
64116	SLC39A8	3e-26	0.005
109	ADCY3	2.0000000000000002e-23	0.003
10658	CELF1	3e-18	0.003
2186	BPTF	1e-16	0.003
8028	MLLT10	4e-16	0.002
11060	WWP2	7e-16	0.002
7916	PRRC2A	1e-15	0.002
54887	BLTP3A	3e-15	0.002
7039	TGFA	1e-14	0.002
11281	POU6F2	5e-14	0.002
58489	ABHD17C	1e-13	0.002
7227	TRPS1	2e-13	0.004
9541	CIR1	9e-13	0.003
23518	R3HDM1	2e-12	0.002
55118	CRTAC1	3e-12	0.002
144608	C12orf60	4e-12	0.002
148979	GLIS1	4e-12	0.002
8379	MAD1L1	8e-12	0.003
64901	RANBP17	1e-11	0.002
54858	PGPEP1	2e-11	0.002
9735	KNTC1	2e-11	0.003
54816	ZNF280D	3e-11	0.002
2890	GRIA1	4e-11	0.002
63943	FKBPL	4e-11	0.003
115	ADCY9	1e-10	0.002
51460	SFMBT1	1e-10	0.002
23095	KIF1B	3e-10	0.003
57698	SHTN1	4e-10	0.002
4016	LOXL1	6e-10	0.003
3720	JARID2	8e-10	0.002
728780	ANKDD1B	8e-10	0.002
26053	AUTS2	9e-10	0.004
10714	POLD3	9e-10	0.002
84678	KDM2B	1e-09	0.005
10777	ARPP21	2e-09	0.002
64839	FBXL17	2e-09	0.002
3727	JUND	2e-09	0.002
57578	UNC79	2e-09	0.002
9586	CREB5	3e-09	0.002
4978	OPCML	3e-09	0.002
27086	FOXP1	3e-09	0.002
3777	KCNK3	4e-09	0.002
3127	HLA-DRB5	6e-09	0.003
22871	NLGN1	7e-09	0.002
51274	KLF3	9e-09	0.002
8648	NCOA1	1e-08	0.003
7750	ZMYM2	1e-08	0.002
80031	SEMA6D	1e-08	0.002
55024	BANK1	1e-08	0.005
6092	ROBO2	1e-08	0.002
9567	GTPBP1	2e-08	0.002
3036	HAS1	2e-08	0.002
2780	GNAT2	2e-08	0.005
29919	RMC1	2e-08	0.002
23338	JADE2	2e-08	0.002
23198	PSME4	2e-08	0.002
23660	ZKSCAN5	2e-08	0.002
221692	PHACTR1	2e-08	0.002
81627	TRMT1L	3e-08	0.002
29789	OLA1	3e-08	0.002
3708	ITPR1	3e-08	0.002
5506	PPP1R3A	3e-08	0.002
9807	IP6K1	3e-08	0.002
4238	MFAP3	4e-08	0.006
10128	LRPPRC	4e-08	0.002
8618	CADPS	5e-08	0.002
