Entrez	Gene Symbol	P-value	Beta
26585	GREM1	7e-35	1.18
3911	LAMA5	1.9999999999999997e-28	1.16
25884	CHRDL2	1e-20	1.31
85415	RHPN2	2e-18	1.3
57580	PREX1	4e-17	1.1
10714	POLD3	4e-16	1.09
6311	ATXN2	8e-15	1.09
342184	FMN1	1e-14	1.11
3915	LAMC1	1e-14	1.09
652	BMP4	1e-13	1.09
25953	PNKD	2e-13	1.09
357	SHROOM2	8e-12	1.18
64759	TNS3	2e-11	1.08
1284	COL4A2	3e-11	1.08
4093	SMAD9	5e-11	1.09
688	KLF5	2e-10	1.08
641649	TMEM91	3e-10	1.08
7942	TFEB	4e-10	1.1
284358	MAMSTR	6e-10	1.07
55001	TTC22	9e-10	1.1
64399	HHIP	2e-09	1.12
2289	FKBP5	2e-09	1.11
143187	VTI1A	3e-09	1.11
653	BMP5	3e-09	1.08
1906	EDN1	4e-09	1.07
84969	TOX2	5e-09	1.07
348932	SLC6A18	8e-09	1.14
64359	NXN	9e-09	1.1
4091	SMAD6	1e-08	1.08
10120	ACTR1B	1e-08	1.12
81846	SBF2	1e-08	1.1
84517	ACTRT3	6e-08	1.07
999	CDH1	2e-07	1.06
894	CCND2	1e-06	1.11
6934	TCF7L2	3e-06	1.07
