Entrez	Gene Symbol	P-value	Beta
23030	KDM4B	9e-22	0.2336
7525	YES1	2e-21	0.3084
7015	TERT	4e-21	0.2735
4140	MARK3	5e-21	0.3397
7156	TOP3A	2e-20	0.2281
254251	LCORL	4e-20	0.2573
23334	SZT2	1e-19	0.2274
81575	APOLD1	1e-19	0.2326
4482	MSRA	4e-18	0.2377
8603	FAM193A	5e-18	0.2281
3632	INPP5A	7e-18	0.2607
23335	WDR7	3e-17	0.2277
4773	NFATC2	4e-17	0.2041
54901	CDKAL1	4e-17	0.2301
135112	NCOA7	5e-16	0.1995
5151	PDE8A	1e-15	0.2602
6857	SYT1	2e-15	0.2027
22843	PPM1E	4e-15	0.2069
596	BCL2	4e-15	0.2038
9213	XPR1	5e-15	0.1995
63892	THADA	5e-15	0.2152
81563	C1orf21	7e-15	0.1944
4211	MEIS1	8e-15	0.1949
4205	MEF2A	1e-14	0.2497
2296	FOXC1	4e-14	0.1908
5789	PTPRD	4e-14	0.1965
23654	PLXNB2	4e-14	0.1951
2037	EPB41L2	5e-14	0.2102
23143	LRCH1	6e-14	0.2151
55844	PPP2R2D	7e-14	0.1943
79621	RNASEH2B	2e-13	0.1939
126695	KDF1	2e-13	0.5926
9628	RGS6	3e-13	0.2022
4053	LTBP2	3e-13	0.1793
120534	ARL14EP	6e-13	0.1899
57157	PHTF2	7e-13	0.2004
401541	CENPP	9e-13	0.1823
145957	NRG4	9e-13	0.2258
658	BMPR1B	1e-12	0.1792
203062	TSNARE1	1e-12	0.1749
9855	FARP2	1e-12	0.5473
5893	RAD52	3e-12	0.1884
10461	MERTK	3e-12	0.1862
64855	NIBAN2	3e-12	0.1785
2658	GDF2	6e-12	0.2715
100101267	POM121C	1e-11	0.1779
29842	TFCP2L1	2e-11	0.2348
66000	TMEM108	2e-11	0.1651
259217	HSPA12A	2e-11	0.1801
54828	BCAS3	2e-11	0.2273
8412	BCAR3	2e-11	0.1969
23418	CRB1	6e-11	0.1615
9320	TRIP12	6e-11	0.2275
2066	ERBB4	8e-11	0.1765
221895	JAZF1	9e-11	0.1592
169792	GLIS3	1e-10	0.218
3664	IRF6	1e-10	0.1961
134	ADORA1	2e-10	0.3538
4291	MLF1	2e-10	0.2108
160851	DGKH	2e-10	0.2558
64218	SEMA4A	2e-10	0.2394
5587	PRKD1	4e-10	0.1569
6660	SOX5	7e-10	0.1638
27147	DENND2A	1e-09	0.1521
57142	RTN4	1e-09	0.1851
54715	RBFOX1	2e-09	0.1609
6764	DENND2B	2e-09	0.1832
80731	THSD7B	5e-09	0.2083
6497	SKI	5e-09	0.1485
908	CCT6A	8e-09	0.1581
9378	NRXN1	1e-08	0.1691
26137	ZBTB20	1e-08	0.2159
54906	TASOR2	3e-08	0.1992
