Entrez	Gene Symbol	P-value	Beta
4059	BCAM	1e-200	0.356533
10452	TOMM40	2e-151	0.361598
1952	CELSR2	2e-78	0.106571
255738	PCSK9	7e-72	0.32402
53345	TM6SF2	1.9999999999999998e-32	0.106845
28	ABO	9.999999999999999e-27	0.0654814
64241	ABCG8	1e-22	0.0496274
23460	ABCA6	1e-22	0.155953
746	TMEM258	1e-21	0.047334
8854	ALDH1A2	1e-18	0.0437803
3117	HLA-DQA1	3e-17	0.0520971
8882	ZPR1	3e-16	0.0570841
3250	HPR	6e-15	0.0474179
6580	SLC22A1	3e-14	0.0452061
85440	DOCK7	3e-14	0.0376209
6597	SMARCA4	7e-14	0.170205
6484	ST3GAL4	1e-11	0.0582918
10349	ABCA10	4e-11	0.0466252
7227	TRPS1	3e-10	0.0332081
3949	LDLR	1e-09	0.0909309
