Entrez	Gene Symbol	P-value	Beta
8882	ZPR1	1e-200	0.207722
4023	LPL	4e-129	0.185721
85440	DOCK7	2e-51	0.0754867
53345	TM6SF2	6e-45	0.12418
51129	ANGPTL4	3e-43	0.228867
3949	LDLR	6e-22	0.0674969
22837	COBLL1	8e-20	0.0433281
2590	GALNT2	3e-18	0.0413023
4018	LPA	5e-18	0.049054
7158	TP53BP1	5e-18	0.127528
146894	CD300LG	5e-17	0.11067
3083	HGFAC	6e-15	0.0375207
4299	AFF1	6e-14	0.0357164
84870	RSPO3	6e-14	0.0352243
3250	HPR	4e-13	0.0429675
8289	ARID1A	4e-12	0.108069
6804	STX1A	6e-11	0.0700975
3482	IGF2R	7e-11	0.0569906
54536	EXOC6	5e-10	0.0295157
3699	ITIH3	5e-10	0.0441793
221037	JMJD1C	1e-09	0.0283555
