Entrez	Gene Symbol	P-value	Beta
164656	TMPRSS6	3e-102	0.0781285
10767	HBS1L	6e-94	0.0779676
10723	SLC12A7	5e-52	0.0598701
25893	TRIM58	7e-51	0.0696883
217	ALDH2	5.0000000000000005e-39	0.0551782
28	ABO	5e-34	0.0576841
114926	SMIM19	3e-30	0.0421687
9839	ZEB2	5e-22	0.0602823
7036	TFR2	1e-19	0.363603
23381	SMG5	1e-18	0.0393256
10347	ABCA7	4e-18	0.031761
6708	SPTA1	1e-17	0.0316708
6521	SLC4A1	2e-17	0.0333777
3783	KCNN4	4e-17	0.0544018
8766	RAB11A	5e-16	0.0321688
51090	PLLP	1e-13	0.0319304
116519	APOA5	1e-13	0.028268
2766	GMPR	2e-13	0.0414471
4650	MYO9B	2e-13	0.0285192
11331	PHB2	4e-13	0.0452799
146852	ODF4	2e-12	0.0263184
7018	TF	5e-12	0.0254743
4149	MAX	3e-11	0.0262624
146057	TTBK2	1e-10	0.213078
7332	UBE2L3	1e-10	0.0231994
115548	FCHO2	3e-09	0.0290085
4363	ABCC1	1e-08	0.0210805
