Entrez	Gene Symbol	P-value	Beta
8701	DNAH11	1e-35	1.25
23492	CBX7	3.0000000000000003e-31	1.21
1838	DTNB	8.000000000000001e-28	1.27
23495	TNFRSF13B	3e-23	1.3
54535	CCHCR1	2e-22	1.19
54480	CHPF2	5e-19	1.25
151827	LRRC34	9e-18	1.18
9474	ATG5	2e-16	1.18
1029	CDKN2A	3e-16	1.23
4782	NFIC	2e-13	1.19
57580	PREX1	3e-13	1.22
22936	ELL2	6e-13	1.15
10365	KLF2	5e-10	1.13
4601	MXI1	8e-10	1.11
55159	RFWD3	8e-10	1.11
80012	PHC3	2e-09	1.63
64092	SAMSN1	3e-09	1.11
153241	CEP120	7e-09	1.12
3662	IRF4	2e-08	1.1
675	BRCA2	3e-08	1.57
