Entrez	Gene Symbol	P-value	Beta
348	APOE	1e-200	0.304675
8854	ALDH1A2	1e-200	0.149514
5360	PLTP	1e-200	0.195125
51085	MLXIPL	3e-53	0.101328
4023	LPL	2e-38	0.0956013
255738	PCSK9	5.0000000000000004e-29	0.190158
1952	CELSR2	1e-27	0.0582147
338	APOB	9e-21	0.0512688
3083	HGFAC	2e-13	0.033752
949	SCARB1	2e-13	0.0354262
22837	COBLL1	3e-13	0.0332298
57678	GPAM	6e-13	0.0358379
85440	DOCK7	7e-13	0.0334772
221035	REEP3	2e-11	0.0299954
158219	TTC39B	9e-11	0.0419446
5468	PPARG	1e-10	0.14107
64241	ABCG8	5e-10	0.055738
