Entrez	Gene Symbol	Ensembl ID	P-value
7455	ZAN	ENSG00000146839	4.81e-09
6002	RGS12	ENSG00000159788	1.75e-06
56999	ADAMTS9	ENSG00000163638	3.88e-06
91584	PLXNA4	ENSG00000221866	5.36e-06
3670	ISL1	ENSG00000016082	6.19e-06
79956	ERMP1	ENSG00000099219	6.84e-06
4146	MATN1	ENSG00000162510	7.03e-06
6536	SLC6A9	ENSG00000196517	8.01e-06
127247	ASB17	ENSG00000154007	8.42e-06
23544	SEZ6L	ENSG00000100095	9.85e-06
57343	ZNF304	ENSG00000131845	1.16e-05
23348	DOCK9	ENSG00000088387	1.16e-05
27258	LSM3	ENSG00000170860	1.25e-05
79694	MANEA	ENSG00000172469	1.46e-05
733	C8G	ENSG00000176919	2.63e-05
283659	PRTG	ENSG00000166450	2.7e-05
493861	EID3	ENSG00000255150	3.08e-05
57589	RIC1	ENSG00000107036	3.19e-05
3836	KPNA1	ENSG00000114030	4.74e-05
400566	C17orf97	ENSG00000283985	5.07e-05
1294	COL7A1	ENSG00000114270	5.28e-05
7038	TG	ENSG00000042832	5.3e-05
28512	NKIRAS1	ENSG00000197885	5.36e-05
8352	H3C3	ENSG00000287080	6.71e-05
83481	EPPK1	ENSG00000261150	6.83e-05
3881	KRT31	ENSG00000262993	7.11e-05
254786	OR6C3	ENSG00000205329	7.3e-05
374900	ZNF568	ENSG00000198453	7.33e-05
79959	CEP76	ENSG00000101624	7.47e-05
1757	SARDH	ENSG00000123453	7.58e-05
51734	MSRB1	ENSG00000198736	7.76e-05
10897	YIF1A	ENSG00000174851	7.82e-05
10417	SPON2	ENSG00000159674	8.8e-05
131076	MIX23	ENSG00000160124	9.27e-05
26051	PPP1R16B	ENSG00000101445	9.31e-05
