Entrez	Gene Symbol	P-value	Beta
2263	FGFR2	9.999999999999999e-129	1.27
9497	SLC4A7	5e-22	1.1
80129	CCDC170	1e-18	1.17
57178	ZMIZ1	3e-15	1.08
57591	MRTFA	4e-14	1.12
8178	ELL	6e-14	1.0752687
5890	RAD51B	4e-13	1.0869565
79068	FTO	7e-13	1.0752687
11086	ADAM29	3e-12	1.1111112
1879	EBF1	4e-12	1.07
124359	CDYL2	6e-12	1.08
3708	ITPR1	6e-11	1.07
3174	HNF4G	7e-11	1.13
4046	LSP1	1e-10	1.07
440193	CCDC88C	2e-10	1.07
5083	PAX9	5e-10	1.0752687
56957	OTUD7B	2e-09	1.07
83734	ATG10	4e-09	1.0752687
252983	STXBP4	8e-09	1.0638298
5195	PEX14	9e-09	1.0638298
7984	ARHGEF5	1e-08	1.0638298
7015	TERT	2e-08	1.06
6934	TCF7L2	5e-08	1.05
7048	TGFBR2	7e-08	1.06
27246	RNF115	2e-07	1.0526316
6314	ATXN7	2e-07	1.08
9156	EXO1	3e-07	1.15
129080	EMID1	4e-07	1.14
64858	DCLRE1B	6e-07	1.07
11200	CHEK2	8e-07	1.37
10142	AKAP9	1e-06	1.05
26040	SETBP1	1e-06	1.098901
5144	PDE4D	1e-06	1.0869565
79890	RIN3	1e-06	1.0638298
675	BRCA2	2e-06	1.27
10923	SUB1	2e-06	1.05
54790	TET2	7e-06	1.05
