Entrez	Gene Symbol	P-value	Beta
3117	HLA-DQA1	2e-70	0.1424
728294	D2HGDH	6e-37	0.108
4088	SMAD3	5e-33	0.1074
55876	GSDMB	5e-31	0.0823
60468	BACH2	9e-24	0.0847
6095	RORA	1e-18	0.0833
64375	IKZF4	3e-18	0.0663
23274	CLEC16A	3e-16	0.0722
6778	STAT6	2e-15	0.0578
132612	ADAD1	2e-14	0.0546
2720	GLB1	2e-14	0.0542
940	CD28	7e-14	0.081
4026	LPP	1e-12	0.0499
5890	RAD51B	3e-12	0.0575
337867	UBAC2	9e-12	0.0601
7726	TRIM26	3e-11	0.0613
7096	TLR1	3e-11	0.0664
6777	STAT5B	6e-11	0.0493
80762	NDFIP1	1e-10	0.0459
255743	NPNT	3e-10	0.0577
2207	FCER1G	4e-10	0.0469
3559	IL2RA	1e-09	0.2142
5195	PEX14	2e-09	0.0431
169792	GLIS3	4e-09	0.0429
3570	IL6R	1e-08	0.0407
84885	ZDHHC12	2e-08	0.0837
25816	TNFAIP8	2e-08	0.0402
919	CD247	3e-08	0.0489
56731	SLC2A4RG	3e-08	0.0434
7103	TSPAN8	4e-08	0.0391
846	CASR	4e-08	0.0537
8189	SYMPK	5e-08	0.0416
