Entrez	Gene Symbol	P-value	Beta
57419	SLC24A3	2e-70	1.09
56997	COQ8A	2e-33	1.04
10801	SEPTIN9	9e-28	0.96
54715	RBFOX1	6e-26	1.04
9444	QKI	9e-24	1.05
65981	CAPRIN2	3e-22	0.94
168850	ZNF800	5e-22	1.12
151056	PLB1	1e-19	1.04
23266	ADGRL2	6e-18	1.04
4948	OCA2	3e-17	1.05
182	JAG1	3e-17	0.96
652	BMP4	7e-17	1.03
27151	CPAMD8	5e-13	1.1
150280	HORMAD2	1e-12	1.03
54855	TENT5C	3e-11	1.03
51272	BET1L	4e-11	1.06
56479	KCNQ5	4e-10	1.02
55288	RHOT1	7e-10	0.98
1031	CDKN2C	8e-10	0.98
11060	WWP2	9e-09	1.02
28951	TRIB2	1e-08	0.98
9586	CREB5	2e-08	1.03
5915	RARB	5e-07	1.02
29091	STXBP6	1e-06	1.03
54897	CASZ1	1e-06	0.98
