Entrez	Gene Symbol	P-value	Beta
8647	ABCB11	0.0	0.016348023
2645	GCK	6e-290	0.013945339
111	ADCY5	2e-80	0.006507608
2646	GCKR	3e-35	0.003700976
58498	MYL7	2e-22	0.003204113
54855	TENT5C	9e-22	0.002998645
83986	FAM234A	4e-21	0.003527837
1607	DGKB	9e-21	0.003605661
6239	RREB1	2e-20	0.003776716
26086	GPSM1	5e-19	0.002984065
54901	CDKAL1	5e-18	0.003048122
54832	VPS13C	2e-17	0.002526607
169792	GLIS3	3e-17	0.002498747
2740	GLP1R	8e-17	0.010403699
4004	LMO1	9e-17	0.002723601
374383	NCR3LG1	2e-16	0.002484924
2180	ACSL1	9e-16	0.003458812
2887	GRB10	2e-15	0.002478909
6049	RNF6	7e-15	0.00271028
253461	ZBTB38	1e-14	0.005572732
8556	CDC14A	3e-14	0.002926682
8925	HERC1	3e-13	0.002323663
23456	ABCB10	4e-13	0.002209471
22864	R3HDM2	1e-12	0.002447282
54942	ABITRAM	3e-12	0.006437153
80267	EDEM3	4e-12	0.007456726
573	BAG1	5e-12	0.002754335
55062	WIPI1	6e-12	0.002395045
29974	A1CF	6e-12	0.002197784
7453	WARS1	8e-12	0.002401092
26575	RGS17	1e-11	0.002045785
57405	SPC25	2e-11	0.002057583
116985	ARAP1	7e-11	0.002637962
64599	GIGYF1	1e-10	0.002932691
5937	RBMS1	3e-10	0.001901692
54790	TET2	3e-10	0.002760541
128553	TSHZ2	4e-10	0.001856843
54814	QPCTL	5e-10	0.001823506
57666	FBRSL1	6e-10	0.002196017
63976	PRDM16	8e-10	0.002358478
6928	HNF1B	8e-10	0.001803599
7529	YWHAB	1e-09	0.00201603
100287284	MANSC4	1e-09	0.002150633
128866	CHMP4B	2e-09	0.001774426
221895	JAZF1	2e-09	0.001756751
22837	COBLL1	2e-09	0.001783505
55076	TMEM45A	3e-09	0.001728775
4836	NMT1	3e-09	0.001908914
3784	KCNQ1	4e-09	0.001737664
6660	SOX5	4e-09	0.003053418
4154	MBNL1	8e-09	0.002826959
130399	ACVR1C	1e-08	0.003655411
6927	HNF1A	2e-08	0.001656816
79966	SCD5	2e-08	0.002339622
8831	SYNGAP1	3e-08	0.001741252
9682	KDM4A	3e-08	0.00171956
79097	TRIM48	4e-08	0.002968187
4544	MTNR1B	5e-08	0.001783303
5140	PDE3B	1e-07	0.005067752
2081	ERN1	2e-07	0.002228696
6934	TCF7L2	2e-07	0.005718726
5989	RFX1	3e-07	0.001496213
5146	PDE6C	4e-07	0.001567743
