Entrez	Gene Symbol	Ensembl ID	P-value
4352	MPL	ENSG00000117400	1.77e-06
4881	NPR1	ENSG00000169418	1.18e-05
1419	CRYGB	ENSG00000182187	1.2e-05
3739	KCNA4	ENSG00000182255	1.65e-05
4082	MARCKS	ENSG00000277443	1.67e-05
3720	JARID2	ENSG00000008083	1.7e-05
337963	KRTAP23-1	ENSG00000186980	1.82e-05
8672	EIF4G3	ENSG00000075151	2.46e-05
8019	BRD3	ENSG00000169925	2.62e-05
219858	OR8B12	ENSG00000170953	2.86e-05
10917	BTNL3	ENSG00000168903	3.82e-05
221935	SDK1	ENSG00000146555	4.31e-05
2925	GRPR	ENSG00000126010	6.68e-05
728597	DCDC2C	ENSG00000214866	7.82e-05
53615	MBD3	ENSG00000071655	8.68e-05
