Entrez	Gene Symbol	P-value	Beta
2099	ESR1	2.0000000000000002e-29	0.0319
51319	RSRC1	1.9999999999999998e-26	0.0288
5101	PCDH9	5e-24	0.0271
9753	ZSCAN12	5e-22	0.0465
5727	PTCH1	6e-22	0.0439
57451	TENM2	2e-20	0.0261
473	RERE	4e-20	0.025
22986	SORCS3	1e-19	0.0279
5045	FURIN	3e-19	0.0241
5079	PAX5	2e-18	0.0243
8379	MAD1L1	5e-18	0.0291
1630	DCC	6e-18	0.0231
6925	TCF4	2e-17	0.0271
746	TMEM258	3e-17	0.0236
56853	CELF4	3e-17	0.0267
84186	ZCCHC7	7e-17	0.031
23196	FAM120A	8e-17	0.0298
54932	EXD3	3e-16	0.0427
145581	LRFN5	3e-16	0.0239
54664	TMEM106B	2e-15	0.0234
2915	GRM5	3e-15	0.0241
9870	AREL1	6e-15	0.0229
729993	SHISA9	9e-15	0.0238
200942	KLHDC8B	9e-15	0.0269
153396	TMEM161B	3e-14	0.0225
51108	METTL9	7e-14	0.0218
4898	NRDC	8e-14	0.02
163486	DENND1B	1e-13	0.0265
9541	CIR1	5e-13	0.0214
4850	CNOT4	6e-13	0.0196
83992	CTTNBP2	9e-13	0.0193
5874	RAB27B	4e-12	0.0245
121665	SPPL3	5e-12	0.0202
9420	CYP7B1	2e-11	0.0274
84871	AGBL4	2e-11	0.03
54715	RBFOX1	2e-11	0.0192
9960	USP3	3e-11	0.0233
55534	MAML3	3e-11	0.0179
23613	ZMYND8	1e-10	0.0202
81603	TRIM8	2e-10	0.0202
4482	MSRA	2e-10	0.0248
79832	QSER1	3e-10	0.0471
341019	DCDC1	4e-10	0.0192
51268	PIPOX	7e-10	0.0283
338707	B4GALNT4	8e-10	0.0342
10125	RASGRP1	9e-10	0.0227
2272	FHIT	1e-09	0.0165
40	ASIC2	2e-09	0.0198
104	ADARB1	2e-09	0.0162
5187	PER1	4e-09	0.0164
401145	CCSER1	4e-09	0.0177
54875	CNTLN	5e-09	0.016
23359	ENTREP2	1e-08	0.0261
7099	TLR4	1e-08	0.0177
10564	ARFGEF2	1e-08	0.0157
91752	ZNF804A	2e-08	0.0168
137868	SGCZ	2e-08	0.018
1007	CDH9	2e-08	0.0166
403341	ZBTB34	3e-08	0.0185
9378	NRXN1	3e-08	0.0386
6886	TAL1	3e-08	0.0165
154075	SAMD3	4e-08	0.0259
26058	GIGYF2	5e-08	0.0168
