Entrez	Gene Symbol	Ensembl ID	P-value
348	APOE	ENSG00000130203	0.0
51085	MLXIPL	ENSG00000009950	3.31e-92
9031	BAZ1B	ENSG00000009954	5.43e-79
11183	MAP4K5	ENSG00000012983	1.47e-75
345	APOC3	ENSG00000110245	3.85e-69
8882	ZPR1	ENSG00000109917	6.53e-63
116519	APOA5	ENSG00000110243	9e-63
84811	BUD13	ENSG00000137656	3.15e-58
587	BCAT2	ENSG00000105552	1.71e-50
23624	CBLC	ENSG00000142273	5.52e-41
51129	ANGPTL4	ENSG00000167772	1.01e-40
337	APOA4	ENSG00000110244	3.91e-39
338	APOB	ENSG00000084674	2.68e-38
5049	PAFAH1B2	ENSG00000168092	5.15e-37
4018	LPA	ENSG00000198670	1.6399999999999999e-34
84226	C2orf16	ENSG00000221843	2.73e-34
11321	GPN1	ENSG00000198522	3.5099999999999997e-34
146894	CD300LG	ENSG00000161649	6.07e-33
23460	ABCA6	ENSG00000154262	5.3e-29
255738	PCSK9	ENSG00000169174	8.38e-29
3949	LDLR	ENSG00000130164	1.67e-27
8890	EIF2B4	ENSG00000115211	4.99e-26
26160	IFT172	ENSG00000138002	5.19e-25
5817	PVR	ENSG00000073008	2.73e-24
350	APOH	ENSG00000091583	3.7999999999999995e-24
221037	JMJD1C	ENSG00000171988	1.7799999999999998e-23
23173	METAP1	ENSG00000164024	1.43e-20
6580	SLC22A1	ENSG00000175003	2.02e-17
23461	ABCA5	ENSG00000154265	5.94e-16
113201	GOLM2	ENSG00000166734	9.25e-16
5140	PDE3B	ENSG00000152270	2.88e-15
84277	DNAJC30	ENSG00000176410	4.81e-15
57159	TRIM54	ENSG00000138100	2.03e-14
94137	RP1L1	ENSG00000183638	5.94e-14
4318	MMP9	ENSG00000100985	1.01e-13
728780	ANKDD1B	ENSG00000189045	1.17e-13
64241	ABCG8	ENSG00000143921	1.34e-13
83650	SLC35G5	ENSG00000285084	3.57e-13
10087	CERT1	ENSG00000113163	5.89e-13
22837	COBLL1	ENSG00000082438	1.33e-12
64240	ABCG5	ENSG00000138075	2.03e-12
8884	SLC5A6	ENSG00000138074	1.12e-11
169436	STKLD1	ENSG00000281245	1.23e-11
83706	FERMT3	ENSG00000149781	1.48e-11
78992	YIPF2	ENSG00000130733	1.61e-11
2696	GIPR	ENSG00000010310	2.13e-11
25764	HYPK	ENSG00000242028	2.35e-11
161497	STRC	ENSG00000242866	3e-11
1071	CETP	ENSG00000087237	4.3e-11
5331	PLCB3	ENSG00000149782	1.1e-10
117155	CATSPER2	ENSG00000166762	2.05e-10
2923	PDIA3	ENSG00000167004	2.56e-10
80237	ELL3	ENSG00000128886	2.72e-10
343263	MYBPHL	ENSG00000221986	3.68e-10
125931	CEACAM20	ENSG00000273777	3.89e-10
6494	SIPA1	ENSG00000213445	5.74e-10
256006	ANKRD31	ENSG00000145700	1.61e-09
9919	SEC16A	ENSG00000148396	1.82e-09
10019	SH2B3	ENSG00000111252	2.24e-09
5468	PPARG	ENSG00000132170	3.76e-09
22932	POMZP3	ENSG00000276464	4.54e-09
134359	POC5	ENSG00000152359	8.88e-09
23203	PMPCA	ENSG00000165688	9.15e-09
9122	SLC16A4	ENSG00000168679	1.89e-08
246243	RNASEH1	ENSG00000171865	6.61e-08
54439	RBM27	ENSG00000091009	6.61e-08
222967	RSPH10B	ENSG00000155026	6.61e-08
60485	SAV1	ENSG00000151748	6.61e-08
1429	CRYZ	ENSG00000116791	6.61e-08
6578	SLCO2A1	ENSG00000174640	6.61e-08
7389	UROD	ENSG00000126088	6.61e-08
56931	DUS3L	ENSG00000141994	6.61e-08
64866	CDCP1	ENSG00000163814	6.61e-08
9451	EIF2AK3	ENSG00000172071	6.61e-08
55341	LSG1	ENSG00000041802	6.61e-08
3096	HIVEP1	ENSG00000095951	6.61e-08
144983	HNRNPA1L2	ENSG00000139675	6.61e-08
23247	KATNIP	ENSG00000047578	6.61e-08
136371	ASB10	ENSG00000146926	6.61e-08
9534	ZNF254	ENSG00000213096	6.61e-08
3990	LIPC	ENSG00000166035	6.61e-08
23175	LPIN1	ENSG00000134324	6.61e-08
127534	GJB4	ENSG00000189433	6.61e-08
151963	MB21D2	ENSG00000180611	6.61e-08
9891	NUAK1	ENSG00000074590	6.61e-08
51537	MTFP1	ENSG00000242114	6.61e-08
23154	NCDN	ENSG00000020129	6.61e-08
338657	CENATAC	ENSG00000280975	6.61e-08
341277	OVCH2	ENSG00000183378	6.61e-08
152877	FAM53A	ENSG00000174137	6.61e-08
9060	PAPSS2	ENSG00000198682	6.61e-08
51005	AMDHD2	ENSG00000162066	6.61e-08
2617	GARS1	ENSG00000106105	6.61e-08
28965	SLC27A6	ENSG00000113396	1.61e-07
5729	PTGDR	ENSG00000168229	3.13e-07
55704	CCDC88A	ENSG00000115355	4.63e-07
55329	MNS1	ENSG00000138587	5.96e-07
138065	RNF183	ENSG00000165188	5.96e-07
7772	ZNF229	ENSG00000278318	1.9e-06
